Date,HE,String,DA Price,RT Price
9/6/2023,20,4008,107.85,192.64
9/6/2023,21,4008,107.74,77.81
9/6/2023,22,4008,57.65,67.36
9/6/2023,23,4008,47.4,53.45
9/6/2023,24,4008,40.79,49.3
9/7/2023,1,4008,43.4,41.34
9/7/2023,2,4008,43.01,39.62
9/7/2023,3,4008,35.68,52.75
9/7/2023,4,4008,31.12,32.28
9/7/2023,5,4008,30.07,35.07
9/7/2023,6,4008,35.43,67.4
9/7/2023,7,4008,40.97,93.68
9/7/2023,8,4008,37.03,38.16
9/7/2023,9,4008,37.61,41.85
9/7/2023,10,4008,42.23,42.5
9/7/2023,11,4008,45.65,52.35
9/7/2023,12,4008,50.98,58.14
9/7/2023,13,4008,57.91,67.88
9/7/2023,14,4008,123.02,120.67
9/7/2023,15,4008,124.21,85.94
9/7/2023,16,4008,145.16,103.37
9/7/2023,17,4008,176.56,66.95
9/7/2023,18,4008,201.3,159.55
9/7/2023,19,4008,166.65,62.75
9/7/2023,20,4008,131.52,61.35
9/7/2023,21,4008,122.72,61.81
9/7/2023,22,4008,51.97,57.07
9/7/2023,23,4008,46.04,34.72
9/7/2023,24,4008,37.87,45.41
9/8/2023,1,4008,36.36,52.01
9/8/2023,2,4008,35.61,35.5
9/8/2023,3,4008,35.99,27.37
9/8/2023,4,4008,32.25,26.63
9/8/2023,5,4008,33.3,26.07
9/8/2023,6,4008,35.49,26.71
9/8/2023,7,4008,36.48,28.91
9/8/2023,8,4008,36.29,28.36
9/8/2023,9,4008,35.87,27.92
9/8/2023,10,4008,37.27,32.64
9/8/2023,11,4008,43.58,29.65
9/8/2023,12,4008,44.18,28.84
9/8/2023,13,4008,46.56,30.32
9/8/2023,14,4008,63.03,37.09
9/8/2023,15,4008,72,59.39
9/8/2023,16,4008,84.22,33.49
9/8/2023,17,4008,87.63,32.08
9/8/2023,18,4008,94.62,28.07
9/8/2023,19,4008,74.42,26.87
9/8/2023,20,4008,72.2,27.87
9/8/2023,21,4008,54.81,24.7
9/8/2023,22,4008,44.08,23.78
9/8/2023,23,4008,36.21,23.79
9/8/2023,24,4008,35.59,24.28
9/9/2023,1,4008,36.16,23.73
9/9/2023,2,4008,34.99,23.09
9/9/2023,3,4008,28.84,23.68
9/9/2023,4,4008,26.85,23.51
9/9/2023,5,4008,27.35,22.95
9/9/2023,6,4008,27.97,23.08
9/9/2023,7,4008,27.87,26.65
9/9/2023,8,4008,29.37,26.91
9/9/2023,9,4008,38.79,37.07
9/9/2023,10,4008,41.97,34.2
9/9/2023,11,4008,33.84,31.84
9/9/2023,12,4008,36.18,27.97
9/9/2023,13,4008,37.71,31.62
9/9/2023,14,4008,39.56,47.43
9/9/2023,15,4008,36.11,45.89
9/9/2023,16,4008,49.26,46.29
9/9/2023,17,4008,48.01,36.07
9/9/2023,18,4008,53.28,46.03
9/9/2023,19,4008,54.06,38.16
9/9/2023,20,4008,44.45,35.5
9/9/2023,21,4008,39.65,31.4
9/9/2023,22,4008,34.05,31.64
9/9/2023,23,4008,31.06,33.55
9/9/2023,24,4008,32.88,28.32
9/10/2023,1,4008,31.86,21.25
9/10/2023,2,4008,27.95,19.12
9/10/2023,3,4008,24.17,20.07
9/10/2023,4,4008,23.25,18.26
9/10/2023,5,4008,23.24,18.01
9/10/2023,6,4008,23.51,17.29
9/10/2023,7,4008,21.94,16.95
9/10/2023,8,4008,21.55,18.08
9/10/2023,9,4008,23.23,20.71
9/10/2023,10,4008,28.64,39.36
9/10/2023,11,4008,30.06,26.25
9/10/2023,12,4008,25.43,23.02
9/10/2023,13,4008,26.76,29.47
9/10/2023,14,4008,33.02,30.34
9/10/2023,15,4008,33.93,25.63
9/10/2023,16,4008,35.36,24.37
9/10/2023,17,4008,34.42,25.51
9/10/2023,18,4008,36.46,27.57
9/10/2023,19,4008,40.02,28.97
9/10/2023,20,4008,41.69,38.77
9/10/2023,21,4008,39.36,37.4
9/10/2023,22,4008,33.41,26.86
9/10/2023,23,4008,29.47,23.48
9/10/2023,24,4008,29.87,22.67
9/11/2023,1,4008,24.27,27.38
9/11/2023,2,4008,23.88,19.51
9/11/2023,3,4008,22.04,19.02
9/11/2023,4,4008,21.46,18.08
9/11/2023,5,4008,21.72,19.35
9/11/2023,6,4008,23.4,20.21
9/11/2023,7,4008,30.55,33.17
9/11/2023,8,4008,30.13,44.31
9/11/2023,9,4008,33.12,48.51
9/11/2023,10,4008,31.05,33.84
9/11/2023,11,4008,32.33,30.47
9/11/2023,12,4008,31.79,34.38
9/11/2023,13,4008,34.91,37.44
9/11/2023,14,4008,40.26,50.93
9/11/2023,15,4008,41.11,49.88
9/11/2023,16,4008,42.17,48.91
9/11/2023,17,4008,42.15,55.78
9/11/2023,18,4008,42.35,54.05
9/11/2023,19,4008,44.74,50.91
9/11/2023,20,4008,45.44,42.16
9/11/2023,21,4008,42.05,32.16
9/11/2023,22,4008,29.78,41.63
9/11/2023,23,4008,31.11,47.09
9/11/2023,24,4008,29.39,36.83
9/12/2023,1,4008,38.2,54.17
9/12/2023,2,4008,35.99,29.77
9/12/2023,3,4008,29.15,34.16
9/12/2023,4,4008,34.51,29.62
9/12/2023,5,4008,30.73,37.22
9/12/2023,6,4008,30.7,28.48
9/12/2023,7,4008,37.67,42.88
9/12/2023,8,4008,34.78,32.61
9/12/2023,9,4008,35.62,31.02
9/12/2023,10,4008,36.24,43.54
9/12/2023,11,4008,33,49.58
9/12/2023,12,4008,35.66,27.93
9/12/2023,13,4008,37.98,26.7
9/12/2023,14,4008,37.83,28.31
9/12/2023,15,4008,36.64,32.53
9/12/2023,16,4008,37.56,49.24
9/12/2023,17,4008,42.02,65.78
9/12/2023,18,4008,43.99,218.38
9/12/2023,19,4008,44.66,136.61
9/12/2023,20,4008,49.06,55.42
9/12/2023,21,4008,41.32,89.34
9/12/2023,22,4008,36.51,57.32
9/12/2023,23,4008,28.51,32.58
9/12/2023,24,4008,29.94,33.44
9/13/2023,1,4008,31.7,38.49
9/13/2023,2,4008,30.55,39.56
9/13/2023,3,4008,25.56,33.68
9/13/2023,4,4008,23.95,28.11
9/13/2023,5,4008,25.04,25.65
9/13/2023,6,4008,27.56,31.28
9/13/2023,7,4008,31.7,48.51
9/13/2023,8,4008,33.61,34.36
9/13/2023,9,4008,34.55,38.79
9/13/2023,10,4008,32.19,39.84
9/13/2023,11,4008,34.98,52.15
9/13/2023,12,4008,41.17,55.75
9/13/2023,13,4008,39.16,45.35
9/13/2023,14,4008,37.4,30.28
9/13/2023,15,4008,31.37,31.93
9/13/2023,16,4008,25.68,30.25
9/13/2023,17,4008,26.97,61.31
9/13/2023,18,4008,29.65,47.98
9/13/2023,19,4008,31.66,46.79
9/13/2023,20,4008,31.81,45.91
9/13/2023,21,4008,29.4,56.2
9/13/2023,22,4008,25.53,50.34
9/13/2023,23,4008,24.36,37.45
9/13/2023,24,4008,23.2,40.45
9/14/2023,1,4008,28.76,29.03
9/14/2023,2,4008,27.12,57.01
9/14/2023,3,4008,23.08,24.97
9/14/2023,4,4008,22.54,23.82
9/14/2023,5,4008,22.47,30.5
9/14/2023,6,4008,24.77,163.52
9/14/2023,7,4008,32.95,42.92
9/14/2023,8,4008,32.25,40.64
9/14/2023,9,4008,25.2,21.34
9/14/2023,10,4008,23.34,21.31
9/14/2023,11,4008,22.39,20.54
9/14/2023,12,4008,21.11,20.83
9/14/2023,13,4008,21.99,23.46
9/14/2023,14,4008,21.96,22.08
9/14/2023,15,4008,19.51,22.62
9/14/2023,16,4008,22.09,23.24
9/14/2023,17,4008,26.25,47.95
9/14/2023,18,4008,38.62,53.44
9/14/2023,19,4008,39.87,52.03
9/14/2023,20,4008,38.02,41.32
9/14/2023,21,4008,25.38,28.45
9/14/2023,22,4008,22.02,25.24
