Date,HE,RT Demand
1/9/2020,8,16455.51
1/9/2020,9,16207.7
1/9/2020,10,15430.55
1/9/2020,11,14829.71
1/9/2020,12,14404.9
1/9/2020,13,14151.03
1/9/2020,14,14279.88
1/9/2020,15,14740.45
1/9/2020,16,15491.84
1/9/2020,17,16615.68
1/9/2020,18,17493.22
1/9/2020,19,17445.01
1/9/2020,20,17110.63
1/9/2020,21,16504.22
1/9/2020,22,15578.86
1/9/2020,23,14353.36
1/9/2020,24,13282.22
1/10/2020,1,12844.58
1/10/2020,2,12708.92
1/10/2020,3,12558.92
1/10/2020,4,12522.41
1/10/2020,5,12813.75
1/10/2020,6,13316.82
1/10/2020,7,14755.45
1/10/2020,8,15651.54
1/10/2020,9,15611.61
1/10/2020,10,15318.64
1/10/2020,11,15307.53
1/10/2020,12,15310.52
1/10/2020,13,15231.02
1/10/2020,14,15212.68
1/10/2020,15,14955.02
1/10/2020,16,14876.43
1/10/2020,17,15373.86
1/10/2020,18,15885.42
1/10/2020,19,15540.61
1/10/2020,20,14992.14
1/10/2020,21,14342.49
1/10/2020,22,13559.44
1/10/2020,23,12810.96
1/10/2020,24,12131.48
1/11/2020,1,11475.82
1/11/2020,2,11377.43
1/11/2020,3,11200.55
1/11/2020,4,11065.05
1/11/2020,5,11077.06
1/11/2020,6,11233.57
1/11/2020,7,11396.74
1/11/2020,8,11794.57
1/11/2020,9,12388.52
1/11/2020,10,12476.57
1/11/2020,11,12084.08
1/11/2020,12,11823.43
1/11/2020,13,11814.93
1/11/2020,14,11958.53
1/11/2020,15,12300.29
1/11/2020,16,12528.1
1/11/2020,17,13299.4
1/11/2020,18,13940.97
1/11/2020,19,13683.56
1/11/2020,20,13190.54
1/11/2020,21,12684.75
1/11/2020,22,12311.44
1/11/2020,23,11578.87
1/11/2020,24,10879.68
1/12/2020,1,10394.42
1/12/2020,2,10223.87
1/12/2020,3,9999.07
1/12/2020,4,9904.74
1/12/2020,5,9952.47
1/12/2020,6,10185.94
1/12/2020,7,10607.94
1/12/2020,8,10549.48
